country,year,remittances_usd,remittances_share_of_gdp_pct,net_aid_usd,net_aid_share_of_gni_pct,remittances_source,aid_source
Jamaica,1980,95500000.0,3.56,110790001.0,4.49,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1981,107000000.0,3.59,136559998.0,4.85,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1982,111099998.0,3.37,162610001.0,5.21,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1983,84199997.0,2.33,171110001.0,4.94,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1984,73900002.0,3.11,165360001.0,7.85,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1985,145500000.0,6.93,165919998.0,9.12,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1986,111500000.0,4.05,174479996.0,7.05,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1987,120500000.0,3.67,160729996.0,5.46,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1988,153899994.0,4.02,184809998.0,5.29,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1989,208500000.0,4.73,258910004.0,6.39,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Jamaica,1990,228699997.0,4.98,271579987.0,6.52,"World Bank, personal remittances received (BX.TRF.PWKR.CD.DT)","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
