country,year,remittances_usd,remittances_share_of_gdp_pct,net_aid_usd,net_aid_share_of_gni_pct,remittances_source,aid_source
Comoros,1980,1618722.0,0.67,43250000.0,17.72,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1981,1221805.0,0.57,46369999.0,21.75,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1982,2367595.0,1.17,38070000.0,18.77,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1983,1836967.0,0.94,37630001.0,19.23,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1984,2139818.0,1.13,42680000.0,22.65,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1985,4229185.0,2.2,47130001.0,24.7,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1986,4764614.0,1.85,45930000.0,17.89,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1987,6801227.0,2.17,54070000.0,17.31,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1988,7383018.0,2.19,51220001.0,15.32,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1989,7887009.0,2.4,44070000.0,13.36,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1990,9935266.0,2.47,44880001.0,11.19,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1991,10095549.0,2.52,63299999.0,15.82,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Comoros,1992,15999876.0,3.67,47869999.0,10.87,World Bank (BX.TRF.PWKR.CD.DT); 1996 and 1998 to 2001 from IMF country reports 04/233 and 01/136; 2002 and 2013 rebuilt from the Banque Centrale des Comores Rapport annuel 2013,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
