country,month,factor_against_average_month,record_used
Jamaica,January,0.895,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,February,0.908,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,March,1.031,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,April,0.958,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,May,0.995,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,June,0.991,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,July,1.02,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,August,1.013,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,September,1.011,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,October,1.011,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,November,0.985,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Jamaica,December,1.182,"Bank of Jamaica monthly inflows, complete years 1994 to 2025"
Tonga,January,0.844,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,February,0.784,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,March,0.883,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,April,0.908,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,May,1.075,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,June,1.03,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,July,1.032,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,August,1.071,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,September,1.007,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,October,1.043,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,November,1.036,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
Tonga,December,1.287,"National Reserve Bank of Tonga monthly totals, complete years 1993 to 2025"
