country,year,remittances_usd,remittances_share_of_gdp_pct,net_aid_usd,net_aid_share_of_gni_pct,remittances_source,aid_source
Tonga,1980,,,15070000.0,,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1981,,,17260000.0,26.11,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1982,,,17200001.0,26.41,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1983,,,17160000.0,27.49,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1984,,,14610000.0,22.04,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1985,,,12730000.0,20.3,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1986,,,14000000.0,19.46,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1987,,,20559999.0,24.18,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1988,,,17260000.0,15.14,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1989,,,22809999.0,20.61,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1990,,,27150000.0,23.3,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1991,,,17080000.0,12.7,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1992,,,22059999.0,15.92,,"World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1993,41798847.0,30.18,28420000.0,20.36,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1994,45381875.0,23.16,29330000.0,14.32,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1995,47657044.0,22.82,32040001.0,15.07,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1996,41375061.0,18.63,29320000.0,12.91,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1997,48683791.0,22.64,25670000.0,11.67,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1998,39234945.0,20.49,20090000.0,10.08,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,1999,45086341.0,22.87,19320000.0,9.39,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2000,51039688.0,26.73,16418333.0,7.91,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2001,58918556.0,35.3,20638332.0,11.35,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2002,67844133.0,37.38,18014334.0,9.68,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2003,76888905.0,37.16,22257999.0,10.96,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2004,102824600.0,42.96,20308001.0,8.72,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2005,104305971.0,39.94,32893665.0,12.59,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2006,92593797.0,31.95,22556667.0,7.58,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2007,105237469.0,34.69,32020245.0,10.56,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2008,97754566.0,29.0,25639238.0,7.32,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2009,76866713.0,24.0,36854210.0,11.44,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2010,82934855.0,22.34,59060001.0,15.59,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2011,70785073.0,16.13,88558632.0,20.78,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2012,104195666.0,22.44,78176849.0,16.12,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2013,104412773.0,23.64,81089615.0,17.51,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2014,114306269.0,26.41,80329811.0,18.09,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2015,116968285.0,28.97,68395752.0,15.47,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
Tonga,2016,131903911.0,31.32,82605919.0,19.32,"National Reserve Bank of Tonga, total remittances in pa'anga, converted at the World Bank period average exchange rate","World Bank, net official development assistance received (DT.ODA.ODAT.CD and DT.ODA.ODAT.GN.ZS), reported to the OECD DAC"
